id,height,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,PER,FTr,PTSper100,FGAper100,FT%,2P%,3P%,3FGA%,Avg Dist,0-3ft FGA%,3-10ft FGA%,10-16ft FGA%,16-3P,% of Ast 2s,% of Ast 3s,% Corner 3s,cluster,player type
FRANCISCO ELSON2008-2009,0.5,0,-0.253968254,-0.832460733,-0.355932203,-0.547445255,-0.281961471,-0.626315789,-0.196808511,-0.692,-0.634782609,-0.585365854,0.692,0.108138239,-0.5,-0.952662722,-0.371428571,0.006,-0.85499316,-0.289473684,-0.409961686,0.268,1,-0.979371203,1,Skilled Big
FRANCISCO ELSON2010-2011,0.5,-0.405172414,-0.26984127,-0.72425829,-0.389830508,-0.722627737,-0.292469352,-0.568421053,-0.271276596,-0.634666667,-0.591304348,-0.536585366,0.678,0.065774805,-1,-1,-0.044897959,-0.54,-0.636114911,-0.402255639,0.220945083,0.408,-1,-1,5,Traditional Center
T.J. FORD2003-2004,-0.4375,-0.75,-0.544973545,0.305410122,-0.288135593,-0.98540146,-0.159369527,-0.252631579,-0.10106383,-0.672,-0.491304348,-0.268292683,0.632,-0.123745819,-0.524,-0.894472362,-0.265306122,-0.216,-0.622435021,-0.413533835,-0.333333333,-0.446,0.6,-0.965049738,9,Floor General
T.J. FORD2005-2006,-0.4375,-0.75,-0.497354497,0.040139616,-0.288135593,-0.97080292,-0.313485114,-0.142105263,-0.04787234,-0.581333333,-0.308695652,-0.146341463,0.508,-0.045707915,-0.326,-0.736375158,-0.2,-0.286,-0.60875513,-0.319548872,-0.524904215,-0.576,0.6,-0.845137294,9,Floor General
T.J. FORD2006-2007,-0.4375,-0.767241379,-0.603174603,0.563699825,-0.220338983,-0.95620438,-0.359019264,0.178947368,0.223404255,-0.566666667,-0.043478261,0.140243902,0.638,-0.003344482,-0.392,-0.847006652,-0.126530612,-0.39,-0.682626539,-0.22556391,-0.243933589,-0.672,0.238,-0.930394483,6,Ball Dominant Scorer
T.J. FORD2007-2008,-0.4375,-0.801724138,-0.708994709,0.54973822,-0.186440678,-1,-0.474605954,0.215789474,0.335106383,-0.681333333,0.095652174,0.280487805,0.76,0.088071349,-0.412,-0.805343511,-0.126530612,-0.358,-0.742818057,-0.259398496,-0.254150702,-0.74,0.6,-0.920261629,9,Floor General
T.J. FORD2008-2009,-0.4375,-0.75,-0.597883598,-0.036649215,-0.322033898,-0.927007299,-0.481611208,0.042105263,0.138297872,-0.589333333,-0.034782609,0.091463415,0.744,0.041248606,-0.326,-0.772179628,-0.167346939,-0.37,-0.556771546,-0.323308271,-0.415070243,-0.688,0.714,-0.889203161,6,Ball Dominant Scorer
T.J. FORD2009-2010,-0.4375,-0.681034483,-0.587301587,-0.134380454,-0.389830508,-0.897810219,-0.443082312,-0.089473684,-0.031914894,-0.569333333,-0.22173913,-0.073170732,0.54,0.079152731,-0.68,-0.76076555,-0.093877551,-0.368,-0.712722298,-0.308270677,-0.297573436,-0.606,0.25,-0.858214034,9,Floor General
T.J. FORD2010-2011,-0.4375,-0.784482759,-0.634920635,-0.008726003,-0.220338983,-0.883211679,-0.309982487,-0.231578947,-0.218085106,-0.729333333,-0.460869565,-0.18902439,0.458,-0.070234114,-0.624,-0.728813559,0.036734694,-0.594,-0.548563611,-0.251879699,-0.24137931,-0.788,1,-0.881821468,9,Floor General
T.J. FORD2011-2012,-0.4375,-0.844827586,-0.650793651,0.141361257,-0.186440678,-0.883211679,0.117338004,-0.289473684,-0.159574468,-0.565333333,-0.495652174,-0.426829268,0.572,0.08361204,-0.5,-0.627906977,0.224489796,-0.628,-0.616963064,-0.387218045,-0.167305236,-0.176,0,-0.918924031,3,Role player
