school,city,region,conference,division
Holy Family,"Philadelphia, Pennsylvania",North East,Central Atlantic Collegiate Conference,NCAA D2
Holy Names,"Oakland, California",West Coast,Pacific West Conference,NCAA D2
Humboldt State,"Arcata, California",West Coast,Great Northwest Athletic Conference,NCAA D2
Indiana Pennsylvania,"Indiana, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Johnson C. Smith,"Charlotte, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Kentucky State,"Frankfort, Kentucky",Mid East,Southern Intercollegiate Athletic Conference,NCAA D2
Kentucky Wesleyan College,"Owensboro, Kentucky",Mid East,Great Midwest Athletic Conference,NCAA D2
King – Tennessee,"Bristol, Tennessee",Mid East,Conference Carolinas,NCAA D2
Kutztown Pennsylvania,"Kutztown, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Lake Erie College,"Painesville, Ohio",Great Lakes,Great Midwest Athletic Conference,NCAA D2
Lake Superior State,"Sault Ste Marie, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Lander,"Greenwood, South Carolina",South East,Peach Belt Conference,NCAA D2
Lane College,"Jackson, Tennessee",Mid East,Southern Intercollegiate Athletic Conference,NCAA D2
Le Moyne College,"Syracuse, New York",North East,Northeast-10 Conference,NCAA D2
Lee,"Cleveland, Tennessee",Mid East,Gulf South Conference,NCAA D2
Lees-McRae College,"Banner Elk, North Carolina",Mid East,Conference Carolinas,NCAA D2
LeMoyne-Owen College,"Memphis, Tennessee",Mid East,Southern Intercollegiate Athletic Conference,NCAA D2
Lenoir-Rhyne,"Hickory, North Carolina",Mid East,South Atlantic Conference,NCAA D2
Lewis,"Romeoville, Illinois",Great Lakes,Great Lakes Valley Conference,NCAA D2
Limestone,"Gaffney, South Carolina",South East,South Atlantic Conference,NCAA D2
Lincoln Memorial,"Harrogate, Tennessee",Mid East,South Atlantic Conference,NCAA D2
Lincoln – Missouri,"Jefferson City, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Lincoln Pennsylvania,"Lincoln University, Pennsylvania",North East,Central Intercollegiate Athletic Association,NCAA D2
Lindenwood,"Saint Charles, Missouri",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Livingstone College,"Salisbury, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Lock Haven,"Lock Haven, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Lubbock Christian,"Lubbock, Texas",Mid South,Heartland Conference,NCAA D2
Lynn,"Boca Raton, Florida",South East,Sunshine State Conference,NCAA D2
Malone,"Canton, Ohio",Great Lakes,Great Midwest Athletic Conference,NCAA D2
Mansfield Pennsylvania,"Mansfield, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Mars Hill,"Mars Hill, North Carolina",Mid East,South Atlantic Conference,NCAA D2
Maryville,"Saint Louis, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
McKendree,"Lebanon, Illinois",Great Lakes,Great Lakes Valley Conference,NCAA D2
Mercy College,"Dobbs Ferry, New York",North East,East Coast Conference,NCAA D2
Mercyhurst,"Erie, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Metropolitan State Denver,"Denver, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Michigan Technological,"Houghton, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Midwestern State University,"Wichita Falls, Texas",Mid South,Lone Star Conference,NCAA D2
Miles College,"Fairfield, Alabama",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Millersville Pennsylvania,"Millersville, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Minnesota State – Mankato,"Mankato, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Minnesota State – Moorhead,"Moorhead, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Minot State,"Minot, North Dakota",North West,Northern Sun Intercollegiate Conference (NCAA Division II),NCAA D2
Mississippi College,"Clinton, Mississippi",Mid South,Gulf South Conference,NCAA D2
Missouri Southern State,"Joplin, Missouri",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Missouri Science & Technology,"Rolla, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Missouri Western State,"St. Joseph, Missouri",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Molloy,"Rockville Centre, New York",North East,East Coast Conference,NCAA D2
Montana State – Billings,"Billings, Montana",North West,Great Northwest Athletic Conference,NCAA D2
Morehouse College,"Atlanta, Georgia",South East,Southern Intercollegiate Athletic Conference,NCAA D2
New Mexico Highlands,"Las Vegas, New Mexico",South West,Rocky Mountain Athletic Conference,NCAA D2
Newberry College,"Newberry, South Carolina",South East,South Atlantic Conference,NCAA D2
Newman,"Wichita, Kansas",Mid West,Heartland Conference,NCAA D2
North Greenville,"Tigerville, South Carolina",South East,Gulf South Conference,NCAA D2
Northeastern State,"Tahlequah, Oklahoma",Mid South,Mid-America Intercollegiate Athletics Association,NCAA D2
Northern Michigan,"Marquette, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Northern State,"Aberdeen, South Dakota",North West,Northern Sun Intercollegiate Conference,NCAA D2
Northwest Missouri State,"Maryville, Missouri",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Northwest Nazarene,"Nampa, Idaho",North West,Great Northwest Athletic Conference,NCAA D2
Northwestern Oklahoma State,"Alva, Oklahoma",Mid South,Great American Conference,NCAA D2
Northwood – Michigan,"Midland, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Notre Dame College,"Cleveland, Ohio",Great Lakes,Mountain East Conference,NCAA D2
Nova Southeastern,"Fort Lauderdale, Florida",South East,Sunshine State Conference,NCAA D2
Nyack College,"New York, New York",North East,Central Atlantic Collegiate Conference,NCAA D2
Ohio Dominican,"Columbus, Ohio",Great Lakes,Great Midwest Athletic Conference,NCAA D2
Oklahoma Baptist,"Shawnee, Oklahoma",Mid South,Great American Conference,NCAA D2
Oklahoma Christian,"Edmond, Oklahoma",Mid South,Heartland Conference,NCAA D2
Ouachita Baptist,"Arkadelphia, Arkansas",Mid South,Great American Conference,NCAA D2
Pace,"New York, New York",North East,Northeast-10 Conference,NCAA D2
Paine College,"Augusta, Georgia",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Palm Beach Atlantic,"West Palm Beach, Florida",South East,Sunshine State Conference,NCAA D2
Pittsburg State,"Pittsburg, Kansas",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Point Loma Nazarene,"San Diego, California",West Coast,Pacific West Conference,NCAA D2
Post,"Waterbury, Connecticut",New England,Central Atlantic Collegiate Conference (Division II),NCAA D2
Purdue – Northwest,"Hammond, Indiana",Great Lakes,Chicagoland Collegiate Athletic Conference,NCAA D2
Queens Charlotte,"Charlotte, North Carolina",Mid East,South Atlantic Conference,NCAA D2
Quincy,"Quincy, Illinois",Great Lakes,Great Lakes Valley Conference,NCAA D2
Regis,"Denver, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Roberts Wesleyan College,"Rochester, New York",North East,East Coast Conference,NCAA D2
Rockhurst,"Kansas City, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Rogers State,"Claremore, Oklahoma",Mid South,Heartland Conference,NCAA D2
Rollins College,"Winter Park, Florida",South East,Sunshine State Conference,NCAA D2
Saginaw Valley State,"University Center, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Saint Anselm College,"Manchester, New Hampshire",New England,Northeast-10 Conference,NCAA D2
Saint Augustine's,"Raleigh, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Saint Leo,"Saint Leo, Florida",South East,Sunshine State Conference,NCAA D2
Saint Martin's,"Lacey, Washington",West Coast,Great Northwest Athletic Conference,NCAA D2
Saint Michael's College,"Colchester, Vermont",New England,Northeast-10 Conference,NCAA D2
Salem,"Salem, West Virginia",Mid East,Great Midwest Athletic Conference (NCAA D2),NCAA D2
San Francisco State,"San Francisco, California",West Coast,California Collegiate Athletic Association,NCAA D2
Seattle Pacific,"Seattle, Washington",West Coast,Great Northwest Athletic Conference,NCAA D2
Seton Hill,"Greensburg, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Shaw,"Raleigh, North Carolina",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Shepherd,"Shepherdstown, West Virginia",Mid East,Mountain East Conference,NCAA D2
Shippensburg Pennsylvania,"Shippensburg, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Shorter,"Rome, Georgia",South East,Gulf South Conference,NCAA D2
Slippery Rock,"Slippery Rock, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Sonoma State,"Rohnert Park, California",West Coast,California Collegiate Athletic Association,NCAA D2
South Dakota Mines,"Rapid City, South Dakota",North West,Rocky Mountain Athletic Conference,NCAA D2
Southeastern Oklahoma State,"Durant, Oklahoma",Mid South,Great American Conference,NCAA D2
Southern Arkansas,"Magnolia, Arkansas",Mid South,Great American Conference,NCAA D2
Southern Connecticut State,"New Haven, Connecticut",New England,Northeast-10 Conference,NCAA D2
Southern Nazarene,"Bethany, Oklahoma",Mid South,Great American Conference,NCAA D2
Southern New Hampshire,"Manchester, New Hampshire",New England,Northeast-10 Conference,NCAA D2
Southern Wesleyan,"Central, South Carolina",South East,Conference Carolinas,NCAA D2
Southwest Baptist,"Bolivar, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Southwest Minnesota State,"Marshall, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Southwestern Oklahoma State,"Weatherford, Oklahoma",Mid South,Great American Conference,NCAA D2
Spring Hill College,"Mobile, Alabama",South East,Southern States Athletic Conference,NCAA D2
St. Cloud State,"Saint Cloud, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
St. Edward's,"Austin, Texas",Mid South,Heartland Conference,NCAA D2
St. Mary's – Texas,"San Antonio, Texas",Mid South,Heartland Conference,NCAA D2
St. Thomas Aquinas College,"Sparkill, New York",North East,East Coast Conference,NCAA D2
Stonehill College,"Easton, Massachusetts",New England,Northeast-10 Conference,NCAA D2
Texas A&M International,"Laredo, Texas",Mid South,Heartland Conference,NCAA D2
Texas A&M – Commerce,"Commerce, Texas",Mid South,Lone Star Conference,NCAA D2
Texas A&M – Kingsville,"Kingsville, Texas",Mid South,Lone Star Conference,NCAA D2
COLLEGE OF SAINT ROSE,"Albany, New York",North East,Northeast-10 Conference,NCAA D2
The Virginia's College at Wise,"Wise, Virginia",Mid East,Mountain East Conference,NCAA D2
Thomas Jefferson,"Philadelphia, Pennsylvania",North East,Central Atlantic Collegiate Conference,NCAA D2
Tiffin,"Tiffin, Ohio",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Trevecca Nazarene,"Nashville, Tennessee",Mid East,Great Midwest Athletic Conference,NCAA D2
Truman State University,"Kirksville, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Tusculum,"Greeneville, Tennessee",Mid East,South Atlantic Conference,NCAA D2
Tuskegee,"Tuskegee, Alabama",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Union,"Jackson, Tennessee",Mid East,Gulf South Conference,NCAA D2
ALABAMA-HUNTSVILLE,"Huntsville, Alabama",South East,Gulf South Conference,NCAA D2
Alaska – Anchorage,"Anchorage, Alaska",West Coast,Great Northwest Athletic Conference,NCAA D2
Alaska – Fairbanks,"Fairbanks, Alaska",West Coast,Great Northwest Athletic Conference,NCAA D2
Arkansas – Fort Smith,"Fort Smith, Arkansas",Mid South,Heartland Conference,NCAA D2
Arkansas at Monticello,"Monticello, Arkansas",Mid South,Great American Conference,NCAA D2
Bridgeport,"Bridgeport, Connecticut",New England,East Coast Conference,NCAA D2
Central Missouri,"Warrensburg, Missouri",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
UNIVERSITY OF CENTRAL OKLAHOMA,"Edmond, Oklahoma",Mid South,Mid-America Intercollegiate Athletics Association,NCAA D2
Charleston,"Charleston, West Virginia",Mid East,Mountain East Conference,NCAA D2
Colorado – Colorado Springs,"Colorado Springs, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Findlay,"Findlay, Ohio",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Hawaii at Hilo,"Hilo, Hawaii",West Coast,Pacific West Conference,NCAA D2
Illinois at Springfield,"Springfield, Illinois",Great Lakes,Great Lakes Valley Conference,NCAA D2
UNIVERSITY OF INDIANAPOLIS,"Indianapolis, Indiana",Great Lakes,Great Lakes Valley Conference,NCAA D2
Mary,"Bismarck, North Dakota",North West,Northern Sun Intercollegiate Conference,NCAA D2
Minnesota – Crookston,"Crookston, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Minnesota – Duluth,"Duluth, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Missouri – St. Louis,"Saint Louis, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Montevallo,"Montevallo, Alabama",South East,Peach Belt Conference,NCAA D2
Mount Olive,"Mount Olive, North Carolina",Mid East,Conference Carolinas,NCAA D2
Nebraska at Kearney,"Kearney, Nebraska",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
New Haven,"West Haven, Connecticut",New England,Northeast-10 Conference,NCAA D2
North Carolina at Pembroke,"Pembroke, North Carolina",Mid East,Division II Independents,NCAA D2
North Georgia,"Dahlonega, Georgia",South East,Peach Belt Conference,NCAA D2
Pittsburgh – Johnstown,"Johnstown, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Sioux Falls,"Sioux Falls, South Dakota",North West,Northern Sun Intercollegiate Conference,NCAA D2
South Carolina Aiken,"Aiken, South Carolina",South East,Peach Belt Conference,NCAA D2
Tampa,"Tampa, Florida",South East,Sunshine State Conference,NCAA D2
Texas – Permian Basin,"Odessa, Texas",Mid South,Lone Star Conference,NCAA D2
Texas – Tyler,"Tyler, Texas",Mid South,American Southwest Conference,NCAA D2
the Sciences,"Philadelphia, Pennsylvania",North East,Central Atlantic Collegiate Conference,NCAA D2
West Alabama,"Livingston, Alabama",South East,Gulf South Conference,NCAA D2
UNIVERSITY OF WEST FLORIDA,"Pensacola, Florida",South East,Gulf South Conference,NCAA D2
West Georgia,"Carrollton, Georgia",South East,Gulf South Conference,NCAA D2
Wisconsin – Parkside,"Kenosha, Wisconsin",Great Lakes,Great Lakes Valley Conference,NCAA D2
Upper Iowa,"Fayette, Iowa",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Valdosta State,"Valdosta, Georgia",South East,Gulf South Conference,NCAA D2
Virginia State,"Petersburg, Virginia",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Virginia Union University,"Richmond, Virginia",Mid East,Central Intercollegiate Athletic Association,NCAA D2
Walsh,"North Canton, Ohio",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Washburn,"Topeka, Kansas",Mid West,Mid-America Intercollegiate Athletics Association,NCAA D2
Wayne State College,"Wayne, Nebraska",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Wayne State,"Detroit, Michigan",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
West Chester Pennsylvania,"West Chester, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
West Liberty,"West Liberty, West Virginia",Mid East,West Virginia Intercollegiate Athletic Conference,NCAA D2
West Texas A&M,"Canyon, Texas",Mid South,Lone Star Conference,NCAA D2
West Virginia State,"Institute, West Virginia",Mid East,West Virginia Intercollegiate Athletic Conference,NCAA D2
West Virginia Wesleyan College,"Buckhannon, West Virginia",Mid East,Mountain East Conference,NCAA D2
Western Colorado,"Gunnison, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Western New Mexico,"Silver City, New Mexico",South West,Lone Star Conference,NCAA D2
Western Oregon,"Monmouth, Oregon",West Coast,Great Northwest Athletic Conference,NCAA D2
Western Washington,"Bellingham, Washington",West Coast,Great Northwest Athletic Conference,NCAA D2
Westminster College – Utah,"Salt Lake City, Utah",South West,Rocky Mountain Athletic Conference,NCAA D2
Wheeling University,"Wheeling, West Virginia",Mid East,Mountain East Conference,NCAA D2
William Jewell College,"Liberty, Missouri",Mid West,Great Lakes Valley Conference,NCAA D2
Adrian College,"Adrian, Michigan",Great Lakes,Michigan Intercollegiate Athletic Association,NCAA D3
Albertus Magnus College,"New Haven, Connecticut",New England,American Southwest Conference ,NCAA D3
Albion College,"Albion, Michigan",Great Lakes,USA South Ahletic Conference ,NCAA D3
Albright College,"Reading, Pennsylvania",North East,Middle Atlantic College,NCAA D3
Alfred,"Alfred, New York",North East,Landmark Conference ,NCAA D3
Allegheny College,"Meadville, Pennsylvania",North East,North Atlantic Conference ,NCAA D3
Alma College,"Alma, Michigan",Great Lakes,American Rivers Conference ,NCAA D3
Alvernia,"Reading, Pennsylvania",North East,Middle Atlantic Confernece,NCAA D3
Amherst College,"Amherst, Massachusetts",New England,Middle Atlantic Confernece and Eastern Collegiate Athletic Conference ,NCAA D3
Anderson – Indiana,"Anderson, Indiana",Great Lakes,Landmark Conference ,NCAA D3
Anna Maria College,"Paxton, Massachusetts",New England,Great Northeast Atlantic Conference ,NCAA D3
Arcadia,"Glenside, Pennsylvania",North East,New England Women's and Men's Athletic Conference,NCAA D3
Asbury,"Wilmore, Kentucky",Mid East,National Christian College Athletics Association,NCAA D3
Augsburg College,"Minneapolis, Minnesota",Mid West,Southern Athletic Association ,NCAA D3
Augustana College – Illinois,"Rock Island, Illinois",Great Lakes,Southern Athletic Association ,NCAA D3
Aurora,"Aurora, Illinois",Great Lakes,Southern Athletic Association,NCAA D3
Austin College,"Sherman, Texas",Mid South,Northen Athletic Collegiate  Conference ,NCAA D3
Averett,"Danville, Virginia",Mid East,Continental Volleyball Conference ,NCAA D3
Babson College,"Wellesley, Massachusetts",New England,USA South Conference ,NCAA D3
Baldwin Wallace,"Berea, Ohio",Great Lakes,Ohio Athletic Conference,NCAA D3
Bard College,"Annandale-On-Hudson, New York",North East,Middle Atlantic Conference ,NCAA D3
Bates College,"Lewiston, Maine",New England,Athletic East Conference ,NCAA D3
Belhaven,"Jackson, Mississippi",Mid South,American Southwest Conference,NCAA D3
Beloit College,"Beloit, Wisconsin",Great Lakes,Middle Atlantic Conference ,NCAA D3
Benedictine,"Lisle, Illinois",Great Lakes,New England Collegiate Conference ,NCAA D3
Berea College,"Berea, Kentucky",Mid East,Athletic East Conference ,NCAA D3
Berry College,"Mount Berry, Georgia",South East,New England Collegiate Conference ,NCAA D3
Bethany College – West Virginia,"Bethany, West Virginia",Mid East,Preisdents' Athletic College,NCAA D3
Bethany Lutheran College,"Mankato, Minnesota",Mid West,North Coast Athletic Conference ,NCAA D3
Bethel – Minnesota,"Saint Paul, Minnesota",Mid West,Allegheny Mountain Collegiate Conference ,NCAA D3
Birmingham-Southern College,"Birmingham, Alabama",South East,Southern Athletic Association ,NCAA D3
Blackburn College,"Carlinville, Illinois",Great Lakes,Southern Athletic Association ,NCAA D3
Bluffton,"Bluffton, Ohio",Great Lakes,Southern Athletic Association ,NCAA D3
Bowdoin College,"Brunswick, Maine",New England,Southern Athletic Association ,NCAA D3
Brandeis,"Waltham, Massachusetts",New England,Skyline Conference,NCAA D3
Brevard College,"Brevard, North Carolina",Mid East,Massachusetts State Collegiate Athletic Conference,NCAA D3
Bridgewater College,"Bridgewater, Virginia",Mid East,Coast to Coast Conference,NCAA D3
Bridgewater State,"Bridgewater, Massachusetts",New England,Southern Athletic Conference ,NCAA D3
Buena Vista,"Storm Lake, Iowa",Mid West,Old Dominion Athletic Conference ,NCAA D3
Cabrini,"Radnor, Pennsylvania",North East,Northern Athletics Conference ,NCAA D3
Cairn,"Langhorne, Pennsylvania",North East,Middle Atlantic Conference,NCAA D3
California Institute of Technology,"Pasadena, California",West Coast,Middle Atlantic Conference,NCAA D3
California Lutheran,"Thousand Oaks, California",West Coast,Commonwealth Coast Conference ,NCAA D3
Calvin,"Grand Rapids, Michigan",Great Lakes,Southern Collegiate Athletic Conference ,NCAA D3
Capital,"Columbus, Ohio",Great Lakes,New England Women and Men's Conference ,NCAA D3
Carleton College,"Northfield, Minnesota",Mid West,Skyline Conference,NCAA D3
Carnegie Mellon,"Pittsburgh, Pennsylvania",North East,Coast to Coast Conference,NCAA D3
Carroll,"Waukesha, Wisconsin",Great Lakes,American Rivers Conference ,NCAA D3
Carthage College,"Kenosha, Wisconsin",Great Lakes,Coast to Coast Conference,NCAA D3
Case Western Reserve,"Cleveland, Ohio",Great Lakes,Landmark Conference ,NCAA D3
Castleton,"Castleton, Vermont",New England,Sun Coast Swimming Conference ,NCAA D3
Catholic America,"Washington, District Of Columbia",North East,American Rivers Conference ,NCAA D3
Cazenovia College,"Cazenovia, New York",North East,Little East Conference ,NCAA D3
CENTENARY (LA),"Shreveport, Louisiana",Mid South,Southern Collegiate Athletic Conference,NCAA D3
Centenary – New Jersey,"Hackettstown, New Jersey",North East,Colonial States Athletic Conference,NCAA D3
Central College,"Pella, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Centre College,"Danville, Kentucky",Mid East,Southern Athletic Association,NCAA D3
Chapman,"Orange, California",West Coast,Southern California Intercollegiate Athletic Conference,NCAA D3
Chatham,"Pittsburgh, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Christopher Newport,"Newport News, Virginia",Mid East,Capital Athletic Conference,NCAA D3
Claremont-Mudd-Scripps Colleges,"Claremont, California",West Coast,"Southern California Intercollegiate Athletic Conference (Division III), Western Water Polo Association (Division III)",NCAA D3
Clark,"Worcester, Massachusetts",New England,New England Women's & Men's Athletic Conference,NCAA D3
Clarks Summit,"Clarks Summit, Pennsylvania",North East,Colonial States Athletic Conference,NCAA D3
Clarkson,"Potsdam, New York",North East,Liberty League,NCAA D3
Coe College,"Cedar Rapids, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Colby College,"Waterville, Maine",New England,New England Small College Athletic Conference,NCAA D3
Colby-Sawyer College,"New London, New Hampshire",New England,North Atlantic Conference,NCAA D3
College of Mount Saint Vincent,"Bronx, New York",North East,Skyline Conference,NCAA D3
College of Wooster,"Wooster, Ohio",Great Lakes,North Coast Athletic Conference,NCAA D3
Colorado College,"Colorado Springs, Colorado",South West,Southern Collegiate Athletic Conference,NCAA D3
Concordia College – Minnesota,"Moorhead, Minnesota",Mid West,Minnesota Intercollegiate Athletic Conference,NCAA D3
Concordia – Chicago,"River Forest, Illinois",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Concordia – Texas,"Austin, Texas",Mid South,American Southwest Conference,NCAA D3
Concordia Wisconsin,"Mequon, Wisconsin",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Connecticut College,"New London, Connecticut",New England,New England Small College Athletic Conference,NCAA D3
Cornell College,"Mount Vernon, Iowa",Mid West,Midwest Conference,NCAA D3
Covenant College,"Lookout Mountain, Georgia",South East,USA South Athletic Conference,NCAA D3
Crown College,"Saint Bonifacius, Minnesota",Mid West,Upper Midwest Athletic Conference,NCAA D3
Culinary Institute of America,"Hyde Park, New York",North East,"Hudson Valley Men's Athletic Conference, Hudson Valley Women's Athletic Conference",NCAA D3
Curry College,"Milton, Massachusetts",New England,Commonwealth Coast Conference,NCAA D3
Dean College,"Franklin, Massachusetts",New England,Eastern Collegiate Football Conference,NCAA D3
Defiance College,"Defiance, Ohio",Great Lakes,Heartland Collegiate Athletic Conference,NCAA D3
Delaware Valley,"Doylestown, Pennsylvania",North East,Middle Atlantic Conferences,NCAA D3
Denison,"Granville, Ohio",Great Lakes,North Coast Athletic Conference,NCAA D3
DePauw,"Greencastle, Indiana",Great Lakes,North Coast Athletic Conference,NCAA D3
DeSales,"Center Valley, Pennsylvania",North East,Middle Atlantic Conference,NCAA D3
Dickinson College,"Carlisle, Pennsylvania",North East,Centennial Conference,NCAA D3
Dominican – Illinois,"River Forest, Illinois",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Drew,"Madison, New Jersey",North East,Landmark Conference,NCAA D3
Earlham College,"Richmond, Indiana",Great Lakes,Heartland Collegiate Athletic Conference,NCAA D3
East Texas Baptist,"Marshall, Texas",Mid South,American Southwest Conference,NCAA D3
Eastern Connecticut State,"Willimantic, Connecticut",New England,Little East Conference,NCAA D3
Eastern Mennonite,"Harrisonburg, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Eastern Nazarene College,"Quincy, Massachusetts",New England,Commonwealth Coast Conference,NCAA D3
Eastern,"Saint Davids, Pennsylvania",North East,Middle Atlantic Conferences,NCAA D3
Edgewood College,"Madison, Wisconsin",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Elizabethtown College,"Elizabethtown, Pennsylvania",North East,Landmark Conference,NCAA D3
Elmhurst,"Elmhurst, Illinois",Great Lakes,College Conference of Illinois and Wisconsin,NCAA D3
Elmira College,"Elmira, New York",North East,Empire 8 Athletic Conference,NCAA D3
Elms College,"Chicopee, Massachusetts",New England,New England Collegiate Conference,NCAA D3
Emerson College,"Boston, Massachusetts",New England,New England Women's & Men's Athletic Conference,NCAA D3
Emory,"Atlanta, Georgia",South East,University Athletic Association,NCAA D3
Endicott College,"Beverly, Massachusetts",New England,Commonwealth Coast Football,NCAA D3
Eureka College,"Eureka, Illinois",Great Lakes,Upper Midwest Athletic Conference,NCAA D3
Fairleigh Dickinson – College at Florham,"Madison, New Jersey",North East,Middle Atlantic Conferences,NCAA D3
Ferrum College,"Ferrum, Virginia",Mid East,USA South Athletic Conference,NCAA D3
Finlandia,"Hancock, Michigan",Great Lakes,Coast to Coast Athletic Conference ,NCAA D3
Fitchburg State,"Fitchburg, Massachusetts",New England,Commonwealth Coast Football,NCAA D3
Fontbonne,"St. Louis, Missouri",Mid West,St. Louis Intercollegiate Athletic Conference,NCAA D3
Framingham State,"Framingham, Massachusetts",New England,Massachusetts State Collegiate Athletic Conference,NCAA D3
Franciscan Steubenville,"Steubenville, Ohio",Great Lakes,Allegheny Mountain Collegiate Conference,NCAA D3
Franklin & Marshall College,"Lancaster, Pennsylvania",North East,Centennial Conference,NCAA D3
Franklin College,"Franklin, Indiana",Great Lakes,Heartland Collegiate Athletic Conference,NCAA D3
Gallaudet,"Washington, District Of Columbia",North East,Eastern Collegiate Football Conference,NCAA D3
Geneva College,"Beaver Falls, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
George Fox,"Newberg, Oregon",West Coast,Northwest Conference,NCAA D3
Gettysburg College,"Gettysburg, Pennsylvania",North East,Centennial Conference,NCAA D3
Gordon College,"Wenham, Massachusetts",New England,Commonwealth Coast Conference,NCAA D3
Goucher College,"Baltimore, Maryland",North East,Landmark Conference,NCAA D3
Greensboro College,"Greensboro, North Carolina",Mid East,USA South Athletic Conference,NCAA D3
Greenville,"Greenville, Illinois",Great Lakes,Upper Midwest Athletic Conference,NCAA D3
Grinnell College,"Grinnell, Iowa",Mid West,Midwest Conference,NCAA D3
Grove City College,"Grove City, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Guilford College,"Greensboro, North Carolina",Mid East,Old Dominion Athletic Conference,NCAA D3
Gustavus Adolphus College,"Saint Peter, Minnesota",Mid West,Minnesota Intercollegiate Athletic Conference,NCAA D3
Gwynedd Mercy,"Gwynedd Valley, Pennsylvania",North East,Colonial States Athletic Conference,NCAA D3
Hamilton College,"Clinton, New York",North East,New England Small College Athletic Conference,NCAA D3
Hamline,"Saint Paul, Minnesota",Mid West,Minnesota Intercollegiate Athletic Conference,NCAA D3
Hampden-Sydney College,"Hampden Sydney, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
