school,city,region,conference,division
The Citadel,"Charleston, South Carolina",South East,Southern Conference,NCAA D1
Towson University,"Towson, Maryland",North East,Colonial Athletic Association,NCAA D1
Troy,"Troy, Alabama",South East,Sun Belt Conference,NCAA D1
Tulane,"New Orleans, Louisiana",Mid South,American Athletic Conference,NCAA D1
United States Air Force Academy,"USAFA, Colorado",South West,Mountain West Conference,NCAA D1
United States Military Academy,"West Point, New York",North East,Patriot League,NCAA D1
United States Naval Academy,"Annapolis, Maryland",North East,Patriot League,NCAA D1
Akron,"Akron, Ohio",Great Lakes,Mid-American Conference,NCAA D1
Alabama,"Tuscaloosa, Alabama",South East,Southeastern Conference,NCAA D1
UAB,"Birmingham, Alabama",South East,Conference USA,NCAA D1
Arizona,"Tucson, Arizona",South West,Pacific-12 Conference,NCAA D1
Arkansas,"Fayetteville, Arkansas",Mid South,Southeastern Conference,NCAA D1
LITTLE ROCK,"Little Rock, Arkansas",Mid South,Sun Belt Conference,NCAA D1
Arkansas at Pine Bluff,"Pine Bluff, Arkansas",Mid South,Southwestern Athletic Conference,NCAA D1
California,"Berkeley, California",West Coast,Pacific-12 Conference,NCAA D1
California – Davis,"Davis, California",West Coast,Big West Conference,NCAA D1
California – Irvine,"Irvine, California",West Coast,Big West Conference,NCAA D1
UCLA,"Los Angeles, California",West Coast,Pacific-12 Conference,NCAA D1
California – Riverside,"Riverside, California",West Coast,Big West Conference,NCAA D1
California – San Diego,"La Jolla, California",West Coast,Big West Conference,NCAA D1
UC SANTA BARBARA,"Santa Barbara, California",West Coast,Big West Conference,NCAA D1
UNIVERSITY OF CENTRAL ARKANSAS,"Conway, Arkansas",Mid South,ASUN Conference,NCAA D1
Central Florida,"Orlando, Florida",South East,American Athletic Conference,NCAA D1
Cincinnati,"Cincinnati, Ohio",Great Lakes,American Athletic Conference,NCAA D1
COLORADO,"Boulder, Colorado",South West,Pacific-12 Conference,NCAA D1
UCONN,"Storrs, Connecticut",New England,Big East Conference,NCAA D1
Dayton,"Dayton, Ohio",Great Lakes,Atlantic 10 Conference,NCAA D1
University of Delaware,"Newark, Delaware",North East,Colonial Athletic Association,NCAA D1
Denver,"Denver, Colorado",South West,The Summit League,NCAA D1
Detroit Mercy,"Detroit, Michigan",Great Lakes,Horizon League,NCAA D1
Evansville,"Evansville, Indiana",Great Lakes,Missouri Valley Conference,NCAA D1
Florida,"Gainesville, Florida",South East,Southeastern Conference,NCAA D1
Georgia,"Athens, Georgia",South East,Southeastern Conference,NCAA D1
Hawaii,"Honolulu, Hawaii",West Coast,Big West Conference,NCAA D1
Houston,"Houston, Texas",Mid South,American Athletic Conference,NCAA D1
Idaho,"Moscow, Idaho",North West,Big Sky Conference,NCAA D1
Illinois,"Champaign, Illinois",Great Lakes,Big Ten Conference,NCAA D1
Illinois at Chicago,"Chicago, Illinois",Great Lakes,Horizon League,NCAA D1
Iowa,"Iowa City, Iowa",Mid West,Big Ten Conference,NCAA D1
Kansas,"Lawrence, Kansas",Mid West,Big 12 Conference,NCAA D1
Kentucky,"Lexington, Kentucky",Mid East,Southeastern Conference,NCAA D1
Louisiana,"Lafayette, Louisiana",Mid South,Sun Belt Conference,NCAA D1
LOUISIANA-MONROE,"Monroe, Louisiana",Mid South,Sun Belt Conference,NCAA D1
Louisville,"Louisville, Kentucky",Mid East,Atlantic Coast Conference,NCAA D1
Maine,"Orono, Maine",New England,America East Conference,NCAA D1
Maryland,"College Park, Maryland",North East,Big Ten Conference,NCAA D1
Maryland – Baltimore County,"Baltimore, Maryland",North East,America East Conference,NCAA D1
Maryland Eastern Shore,"Princess Anne, Maryland",North East,Mid-Eastern Athletic Conference,NCAA D1
UMASS,"Amherst, Massachusetts",New England,Atlantic 10 Conference,NCAA D1
Massachusetts – Lowell,"Lowell, Massachusetts",New England,America East Conference,NCAA D1
Memphis,"Memphis, Tennessee",Mid East,American Athletic Conference,NCAA D1
MIAMI (FL),"Coral Gables, Florida",South East,Atlantic Coast Conference,NCAA D1
Michigan,"Ann Arbor, Michigan",Great Lakes,Big Ten Conference,NCAA D1
Minnesota,"Minneapolis, Minnesota",Mid West,Big Ten Conference,NCAA D1
OLE MISS,"University, Mississippi",Mid South,Southeastern Conference,NCAA D1
Missouri,"Columbia, Missouri",Mid West,Southeastern Conference,NCAA D1
Missouri – Kansas City,"Kansas City, Missouri",Mid West,The Summit League,NCAA D1
Montana,"Missoula, Montana",North West,Big Sky Conference,NCAA D1
Nebraska,"Lincoln, Nebraska",Mid West,Big Ten Conference,NCAA D1
Nebraska at Omaha,"Omaha, Nebraska",Mid West,The Summit League,NCAA D1
UNLV,"Las Vegas, Nevada",South West,Mountain West Conference,NCAA D1
Nevada,"Reno, Nevada",South West,Mountain West Conference,NCAA D1
New Hampshire,"Durham, New Hampshire",New England,America East Conference,NCAA D1
New Mexico,"Albuquerque, New Mexico",South West,Mountain West Conference,NCAA D1
New Orleans,"New Orleans, Louisiana",Mid South,Southland Conference,NCAA D1
North Alabama,"Florence, Alabama",South East,ASUN Conference,NCAA D1
North Carolina – Greensboro,"Greensboro, North Carolina",Mid East,Southern Conference,NCAA D1
UNC WILMINGTON,"Wilmington, North Carolina",Mid East,Colonial Athletic Association,NCAA D1
North Carolina Asheville,"Asheville, North Carolina",Mid East,Big South Conference,NCAA D1
UNC,"Chapel Hill, North Carolina",Mid East,Atlantic Coast Conference,NCAA D1
UNC CHARLOTTE,"Charlotte, North Carolina",Mid East,Conference USA,NCAA D1
University of North Dakota,"Grand Forks, North Dakota",North West,The Summit League,NCAA D1
North Florida,"Jacksonville, Florida",South East,ASUN Conference,NCAA D1
UNIVERSITY OF NORTH TEXAS,"Denton, Texas",Mid South,Conference USA,NCAA D1
Northern Colorado,"Greeley, Colorado",South West,Big Sky Conference,NCAA D1
Northern Iowa,"Cedar Falls, Iowa",Mid West,Missouri Valley Conference,NCAA D1
Notre Dame,"Notre Dame, Indiana",Great Lakes,Atlantic Coast Conference,NCAA D1
Oklahoma,"Norman, Oklahoma",Mid South,Big 12 Conference,NCAA D1
Oregon,"Eugene, Oregon",West Coast,Pacific-12 Conference,NCAA D1
Penn,"Philadelphia, Pennsylvania",North East,Ivy League,NCAA D1
PITT,"Pittsburgh, Pennsylvania",North East,Atlantic Coast Conference,NCAA D1
University of Portland,"Portland, Oregon",West Coast,West Coast Conference,NCAA D1
Rhode Island,"Kingston, Rhode Island",New England,Atlantic 10 Conference,NCAA D1
Richmond,Virginia,Mid East,Atlantic 10 Conference,NCAA D1
San Diego,"San Diego, California",West Coast,West Coast Conference,NCAA D1
San Francisco,"San Francisco, California",West Coast,West Coast Conference,NCAA D1
South Alabama,"Mobile, Alabama",South East,Sun Belt Conference,NCAA D1
South Carolina,"Columbia, South Carolina",South East,Southeastern Conference,NCAA D1
USC UPSTATE,"Spartanburg, South Carolina",South East,Big South Conference,NCAA D1
South Dakota,"Vermillion, South Dakota",North West,The Summit League,NCAA D1
South Florida,"Tampa, Florida",South East,American Athletic Conference,NCAA D1
USC,"Los Angeles, California",West Coast,Pacific-12 Conference,NCAA D1
SOUTHERN MISS,"Hattiesburg, Mississippi",Mid South,Conference USA,NCAA D1
St. Thomas – Minnesota,"Saint Paul, Minnesota",Mid West,The Summit League,NCAA D1
Tennessee,"Knoxville, Tennessee",Mid East,Southeastern Conference,NCAA D1
Tennessee – Chattanooga,"Chattanooga, Tennessee",Mid East,Southern Conference,NCAA D1
UNIVERSITY OF TENNESSEE AT MARTIN,"Martin, Tennessee",Mid East,Ohio Valley Conference,NCAA D1
UT ARLINGTON,"Arlington, Texas",Mid South,Sun Belt Conference,NCAA D1
TEXAS,"Austin, Texas",Mid South,Big 12 Conference,NCAA D1
TEXAS-EL PASO,"El Paso, Texas",Mid South,Conference USA,NCAA D1
Texas – Rio Grande Valley,"Edinburg, Texas",Mid South,Western Athletic Conference,NCAA D1
TEXAS-SAN ANTONIO,"San Antonio, Texas",Mid South,Conference USA,NCAA D1
the Incarnate Word,"San Antonio, Texas",Mid South,Southland Conference,NCAA D1
UNIVERSITY OF THE PACIFIC,"Stockton, California",West Coast,West Coast Conference,NCAA D1
Toledo,"Toledo, Ohio",Great Lakes,Mid-American Conference,NCAA D1
Tulsa,"Tulsa, Oklahoma",Mid South,American Athletic Conference,NCAA D1
Utah,"Salt Lake City, Utah",South West,Pacific-12 Conference,NCAA D1
UNIVERSITY OF VERMONT,"Burlington, Vermont",New England,America East Conference,NCAA D1
Virginia,"Charlottesville, Virginia",Mid East,Atlantic Coast Conference,NCAA D1
Washington,"Seattle, Washington",West Coast,Pacific-12 Conference,NCAA D1
Wisconsin,"Madison, Wisconsin",Great Lakes,Big Ten Conference,NCAA D1
GREEN BAY,"Green Bay, Wisconsin",Great Lakes,Horizon League,NCAA D1
Wisconsin – Milwaukee,"Milwaukee, Wisconsin",Great Lakes,Horizon League,NCAA D1
Wyoming,"Laramie, Wyoming",North West,Mountain West Conference,NCAA D1
Utah State University,"Logan, Utah",South West,Mountain West Conference,NCAA D1
Utah Valley,"Orem, Utah",South West,Western Athletic Conference,NCAA D1
Valparaiso,"Valparaiso, Indiana",Great Lakes,Missouri Valley Conference,NCAA D1
Vanderbilt,"Nashville, Tennessee",Mid East,Southeastern Conference,NCAA D1
Villanova,"Villanova, Pennsylvania",North East,Big East Conference,NCAA D1
VCU,"Richmond, Virginia",Mid East,Atlantic 10 Conference,NCAA D1
VIRGINIA MILITARY INSTITUTE,"Lexington, Virginia",Mid East,Southern Conference,NCAA D1
Virginia Tech,"Blacksburg, Virginia",Mid East,Atlantic Coast Conference,NCAA D1
Wagner College,"Staten Island, New York",North East,Northeast Conference,NCAA D1
Wake Forest,"Winston-Salem, North Carolina",Mid East,Atlantic Coast Conference,NCAA D1
Washington State,"Pullman, Washington",West Coast,Pacific-12 Conference,NCAA D1
Weber State,"Ogden, Utah",South West,Big Sky Conference,NCAA D1
West Virginia,"Morgantown, West Virginia",Mid East,Big 12 Conference,NCAA D1
Western Carolina University,"Cullowhee, North Carolina",Mid East,Southern Conference,NCAA D1
Western Illinois,"Macomb, Illinois",Great Lakes,The Summit League,NCAA D1
Western Kentucky,"Bowling Green, Kentucky",Mid East,Conference USA,NCAA D1
Western Michigan,"Kalamazoo, Michigan",Great Lakes,Mid-American Conference,NCAA D1
Wichita State,"Wichita, Kansas",Mid West,American Athletic Conference,NCAA D1
WILLIAM &AMP; MARY,"Williamsburg, Virginia",Mid East,Colonial Athletic Association,NCAA D1
Academy of Art,"San Francisco, California",West Coast,Pacific West Conference,NCAA D2
Adams State,"Alamosa, Colorado",South West,Rocky Mountain Athletic Conference,NCAA D2
Adelphi,"Garden City, New York",North East,Northeast-10 Conference,NCAA D2
Albany State,"Albany, Georgia",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Alderson Broaddus,"Philippi, West Virginia",Mid East,Great Midwest Athletic Conference,NCAA D2
Allen,"Columbia, South Carolina",South East,Appalachian Athletic Conference,NCAA D2
American International College,"Springfield, Massachusetts",New England,Northeast-10 Conference,NCAA D2
Anderson – South Carolina,"Anderson, South Carolina",South East,South Atlantic Conference,NCAA D2
Angelo State,"San Angelo, Texas",Mid South,Lone Star Conference,NCAA D2
Arkansas Tech,"Russellville, Arkansas",Mid South,Great American Conference,NCAA D2
Ashland,"Ashland, Ohio",Great Lakes,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Assumption,"Worcester, Massachusetts",New England,Northeast-10 Conference,NCAA D2
Auburn – Montgomery,"Montgomery, Alabama",South East,Gulf South Conference,NCAA D2
AUGUSTA STATE UNIVERSITY,"Augusta, Georgia",South East,Peach Bell Conference (Division II),NCAA D2
Augustana – South Dakota,"Sioux Falls, South Dakota",North West,Northern Sun Intercollegiate Conference,NCAA D2
Azusa Pacific,"Azusa, California",West Coast,Great Northeast Athletic Conference,NCAA D2
Barry,"Miami, Florida",South East,Sunshine State Conference,NCAA D2
Barton College,"Wilson, North Carolina",Mid East,Conference Carolinas,NCAA D2
Belmont Abbey College,"Belmont, North Carolina",Mid East,Conference Carolinas,NCAA D2
Bemidji State,"Bemidji, Minnesota",Mid West,Northern Sun Intercollegiate Conference,NCAA D2
Benedict College,"Columbia, South Carolina",South East,Southern Intercollegiate Athletic Conference,NCAA D2
Bentley,"Waltham, Massachusetts",New England,Northeast-10 Conference,NCAA D2
Biola,"La Mirada, California",West Coast,Pacific West Conference,NCAA D2
Black Hills State,"Spearfish, South Dakota",North West,Rocky Mountain Athletic Conference,NCAA D2
Bloomfield College,"Bloomfield, New Jersey",North East,Central Atlantic Collegiate Conference,NCAA D2
Bloomsburg Pennsylvania,"Bloomsburg, Pennsylvania",North East,Pennsylvania State Athletic Conference,NCAA D2
Bluefield State College,"Bluefield, West Virginia",Mid East,Independent Southeast Region,NCAA D2
Bowie State,"Bowie, Maryland",North East,Central Intercollegiate Athletic Association,NCAA D2
